pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
2.0,-2.0,-414.0997,-521.8135,10941.33,-0.6859893,0.4644447,-1.114714,2000.0,2024-01-12 16:27:01.893286,-6380.204353620614,-7084.685139937806,10487.466681474903,False
5.0,-5.0,-873.6786,-809.0504,8535.721,-0.8959892,5.434444,5.955286,2000.0,2024-01-12 16:27:02.131390,-1930.1603500991162,-1206.350586298424,-10103.1860027551,False
-6.0,0.0,1127.404,16.75548,9462.06,-0.5459892,-2.405555,0.9852859,2000.0,2024-01-12 16:27:02.253423,16397.880901067743,6767.070218711332,7590.8893496021565,False
-2.0,3.0,423.6743,584.0482,9167.642,0.6440108,-0.9355553,3.645286,2000.0,2024-01-12 16:27:02.432456,-3930.7261789725917,3168.648908301821,-1644.4901219328262,False
0.0,-6.0,14.36184,-1113.043,9643.976,-0.05598922,0.1844447,-0.204714,2000.0,2024-01-12 16:27:02.673531,-1697.8635694286008,-7039.681426941822,1975.8747277818136,False
6.0,2.0,-1089.106,461.9725,10302.23,1.414011,2.774445,8.405286,2000.0,2024-01-12 16:27:02.852889,-6152.320164140992,8781.406460821374,3670.056534974738,False
-2.0,-1.0,452.398,-232.1831,10611.01,1.344011,-1.145555,0.915286,2000.0,2024-01-12 16:27:03.092921,6422.077056392481,-2891.9294094120787,1286.4118117584349,False
-1.0,2.0,284.8432,512.239,10917.39,2.464011,-2.265555,2.385286,2000.0,2024-01-12 16:27:03.273547,-927.6338954524819,4121.345210545547,1696.2120624937672,False
-2.0,0.0,519.4199,93.35196,10196.91,-0.2659893,0.4644447,0.6352859,2000.0,2024-01-12 16:27:03.452671,1309.577164422411,-2338.531073446328,-4022.2415756682494,False
0.0,-1.0,-14.36184,-217.8212,10065.26,-0.1259892,2.634445,3.785286,2000.0,2024-01-12 16:27:03.632403,-2969.875926379276,-1731.317517192264,-732.4794694322637,False
-3.0,1.0,586.4418,232.1831,10208.88,-2.015989,1.444445,4.415286,1614.0,2024-01-12 16:27:03.873110,2495.9957126298777,1869.5106498772366,596.6590086702879,False
-5.0,0.0,897.615,-129.2566,9385.463,-1.735989,-0.5855553,2.525286,2000.0,2024-01-12 16:27:04.053326,1726.667998401918,-2005.5916233852713,-4569.056021662891,False
0.0,2.0,-38.29824,438.0361,9074.289,-1.035989,-0.02555527,11.20529,2000.0,2024-01-12 16:27:04.293519,-3896.5050605138367,2361.8202861865248,-1295.5165221301165,False
-3.0,4.0,552.9308,660.6447,9203.546,-1.035989,0.6044447,4.205286,1491.0,2024-01-12 16:27:04.532616,2472.758085630518,931.0388670706866,540.6048591157547,False
0.0,3.0,2.39364,591.2291,8648.222,2.044011,-2.545555,1.195286,2000.0,2024-01-12 16:27:04.652931,-4575.798196401113,-576.9488426214514,-4615.584091759137,False
